Designator	Quantity	MF	MP	Description	Value	Package	Type	Instructions	HelpURL	System

"C1, C2, C10, C11, C13, C14"	"6"	"Murata"	"GCM155R71H104KE02D"	"GCM155R71H104KE02D, „ип 0402 X7R 0.1uF +10% 50V, онденсатор"	"0.1u"	"0402"	"SMD, [NoValue]"	""	""	""
"C3, C4, C5"	"3"	"Murata Electronics"	"GRM31CR71H225KA88L"	"1206 2.2 uF 50 V ¬±10% Tolerance X7R SMT Multilayer Ceramic Capacitor"	"2.2u"	"1206 Murata"	"SMD"	""	""	""
"C6, C7, C8"	"3"	"Murata Electronics"	"GRM31CR61A476KE15L"	"Multilayer Ceramic Capacitor, GRM Series, 47 - F, - 10%, X5R, 10 V, 1206 [3216 Metric]"	"47u"	"1206 Murata Electronics"	"SMD"	""	""	""
"C9"	"1"	"Murata Electronics"	"GRM188R71C105KA12D"	"SMD Capacitor X7R(EIA) with Capacitance: 1.0uF Tol. 10%. Rated Voltage: 16Vdc"	"1u"	"0603"	"SMD"	""	"https://static.chipdip.ru/lib/428/DOC005428493.pdf"	""
"C12"	"1"	"Yageo"	"CC0402KRX5R5BB105"	"10% 6.3V Ceramic Capacitor X5R 0402 _1005 Metric_"	"1u"	"0402"	""	""	""	""
"D1"	"1"	"Littelfuse Inc."	"SK56B"	"ƒиод Ўоттки 5ј 60¬ [SMB / DO-214AA]"	""	"DO-214 Littelfuse"	"SMD"	""	""	""
"D2"	"1"	""	"SS16"	"Diode Schottky 60V 1A Surface Mount SMA"	""	"SMA-2"	"SMD"	""	""	""
"L1"	"1"	"Vishay Dale"	"IHLP2020BZER100M01"	"10AµH Shielded Molded Inductor 2.3A 199mOhm Max Nonstandard"	""	"Nonstandard Vishay"	"SMD"	""	"http://www.vishay.com/docs/34253/ihlp-2020bz-01.pdf"	""
"PWR"	"1"	"AMASS"	"XT30PW-M"	""	""	"Package Analog Devices"	""	""	""	""
"R1, R2"	"2"	"Yageo or NXP"	"RC0603FR-0733KL"	"33 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"	"33k"	"R0603"	"SMD"	""	"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"	""
"R3, R5"	"2"	"Yageo or NXP"	"RC0402FR-0762KL"	"0.062¬т 0402 62 кќм, 1%, „ип резистор (SMD)"	"62k"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"R4"	"1"	"Yageo or NXP"	"RC0603FR-07330RL"	"330 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thick Film"	"330"	"R0603"	"SMD"	""	"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"	""
"R6"	"1"	"Yageo or NXP"	"RC0402FR-0710KL"	"0.062¬т 0402 10 кќм, 1%, „ип резистор (SMD)"	"10k"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"R7, R8, R9, R10"	"4"	"Yageo or NXP"	"RC0402FR-07330RL"	"0.062¬т 0402 330 ќм, 1%, „ип резистор (SMD)"	"330"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
