Altium Designer Pick and Place Locations
C:\altium workspace\RFD900X-HOLDER\Project Outputs\Pick Place\Pick Place for RFD900X Holder.csv

========================================================================================================================
File Design Information:

Date:       22.02.23
Time:       12:30
Revision:   96c9fb9ad7f203b09c07ce75c5b97a610a4db360
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","CP2102N-A01-GQFN28","TopLayer","QFN50P500X500X80-29N","22.0480","8.7020","90","Ic Bridge Usb To Uart 28qfn"
"R9","RC0402FR-07330RL","TopLayer","RESC1005X40N","16.4500","14.9000","270","0.062Вт 0402 330 Ом, 1%, Чип резистор (SMD)"
"R7","RC0402FR-07330RL","TopLayer","RESC1005X40N","17.8250","8.6000","0","0.062Вт 0402 330 Ом, 1%, Чип резистор (SMD)"
"R8","RC0402FR-07330RL","TopLayer","RESC1005X40N","17.8250","7.4250","0","0.062Вт 0402 330 Ом, 1%, Чип резистор (SMD)"
"R11","RC0402FR-074K7L","TopLayer","RESC1005X40N","26.0500","7.4750","90","0.062Вт 0402 4.7 кОм, 1%, Чип резистор (SMD)"
"R10","RC0402FR-07330RL","TopLayer","RESC1005X40N","17.9000","9.9750","0","0.062Вт 0402 330 Ом, 1%, Чип резистор (SMD)"
"C12","CC0402KRX5R5BB105","TopLayer","CAPC1005X55N","25.3250","5.5000","0","10% 6.3V Ceramic Capacitor X5R 0402 _1005 Metric_"
"C13","GCM155R71H104KE02D","TopLayer","CAPC1005X55N","25.3250","4.5250","180","GCM155R71H104KE02D, Чип 0402 X7R 0.1uF +10% 50V,Конденсатор"
"Y1","CSTCE12M0G55Z-R0","TopLayer","*OSC_CSTCE8M00G55-R0","38.3000","4.3250","180","Ceramic Resonator, 12 MHz, +/- 0.5%, -40 to 125 degC, 3-Pin SMD, RoHS, Tape and Reel"
"U1","LMR16030SDDAR","TopLayer","*SOIC127P600X170-9N_-_duplicate","33.3500","22.4100","180","LMR16030SDDAR, Conv DC-DC 4.3V to 60V Step Down Single-Out 1V to 50V 3A Automotive 8-Pin HSOP EP T/R"
"U2","CH340G","TopLayer","SOIC127P600X180-16N","35.2250","9.8000","90","USB Interface Integrated Circuit"
"STM-USB?","UJ31-CH-31N-SMT-TR","TopLayer","CUI_UJ31-CH-31N-SMT-TR","21.8750","-3.7200","0","Type C, USB 3.1 Gen 2, 5 A, Right Angle, Surface Mount _SMT_, USB Receptacle"
"R5","RC0402FR-0762KL","TopLayer","RESC1005X40N","35.7500","26.4500","270","0.062Вт 0402 62 кОм, 1%, Чип резистор (SMD)"
"R2","RC0603FR-0733KL","TopLayer","J1-0603","35.7000","14.7000","0","33 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R3","RC0402FR-0762KL","TopLayer","RESC1005X40N","32.1500","26.5250","90","0.062Вт 0402 62 кОм, 1%, Чип резистор (SMD)"
"R6","RC0402FR-0710KL","TopLayer","RESC1005X40N","33.3250","26.5250","270","0.062Вт 0402 10 кОм, 1%, Чип резистор (SMD)"
